Afghanistan,196,15,502
Albania,422,10,631
Algeria,456,9,384
Andorra,25,0,31
Angola,42,3,103
Antigua and Barbuda,0,0,0
Argentina,5853,184,6055
Armenia,240,26,644
Australia,21,0,7
Austria,1519,84,2445
Azerbaijan,1505,43,3028
Bahamas,19,0,5
Bahrain,168,1,211
Bangladesh,1470,32,2167
Barbados,14,0,1
Belarus,1893,9,1295
Belgium,981,71,0
Belize,354,11,3656
Benin,0,0,0
Bhutan,33,0,7
Bolivia,362,7,339
Bosnia and Herzegovina,698,81,928
Botswana,608,0,612
Brazil,25019,527,60793
Brunei,0,0,0
Bulgaria,1277,156,2908
Burkina Faso,141,0,99
Burma,848,22,1298
Burundi,1,0,0
Cabo Verde,21,0,22
Cambodia,0,0,2
Cameroon,0,0,0
Canada,7577,101,7197
Central African Republic,0,0,0
Chad,12,0,1
Chile,2447,43,1957
China,100,1,80
Colombia,10845,205,9008
Comoros,0,0,0
Congo (Brazzaville),0,0,0
Congo (Kinshasa),174,0,213
Costa Rica,2421,41,1289
Cote d'Ivoire,14,0,39
Croatia,766,80,3208
Cuba,115,0,86
Cyprus,316,5,0
Czechia,3383,80,1379
Denmark,3205,18,1951
Diamond Princess,0,0,0
Djibouti,2,0,9
Dominica,0,0,0
Dominican Republic,666,1,655
Ecuador,72,1,3667
Egypt,718,32,345
El Salvador,295,7,220
Equatorial Guinea,17,0,13
Eritrea,53,0,17
Estonia,289,7,87
Eswatini,135,1,65
Ethiopia,397,8,701
Fiji,0,0,0
Finland,252,17,0
France,5960,354,658
Gabon,20,0,29
Gambia,0,0,0
Georgia,824,46,4227
Germany,19256,710,24218
Ghana,301,2,344
Greece,525,85,0
Grenada,0,0,0
Guatemala,102,32,343
Guinea,33,0,46
Guinea-Bissau,0,0,0
Guyana,46,0,50
Haiti,89,0,68
Holy See,0,0,0
Honduras,168,7,37
Hungary,2141,183,5519
Iceland,14,0,9
India,19556,301,30376
Indonesia,6848,205,5073
Iran,6151,191,9312
Iraq,1200,13,1668
Ireland,725,0,0
Israel,3499,12,767
Italy,10869,415,19632
Jamaica,65,0,147
Japan,1804,49,2180
Jordan,2499,36,3062
Kazakhstan,929,4,940
Kenya,114,5,325
South Korea,869,24,773
Kosovo,264,6,205
Kuwait,230,1,216
Kyrgyzstan,0,0,0
Laos,0,0,1
Latvia,395,4,197
Lebanon,1182,13,1615
Lesotho,0,0,0
Liberia,0,0,0
Libya,640,16,722
Liechtenstein,26,2,83
Lithuania,2128,20,142
Luxembourg,854,16,1869
MS Zaandam,0,0,0
Madagascar,0,0,0
Malawi,41,0,1
Malaysia,2018,1,1084
Maldives,8,0,34
Mali,41,3,19
Malta,88,4,137
Marshall Islands,0,0,0
Mauritania,149,5,0
Mauritius,0,0,0
Mexico,5370,396,9326
Moldova,703,25,1380
Monaco,14,0,10
Mongolia,13,0,32
Montenegro,329,4,487
Morocco,877,43,1980
Mozambique,127,1,279
Namibia,585,3,74
Nepal,742,7,1079
Netherlands,11218,28,38
New Zealand,0,0,0
Nicaragua,0,0,0
Niger,65,0,14
Nigeria,356,6,190
North Macedonia,129,22,1121
Norway,431,1,0
Oman,264,1,171
Pakistan,1704,82,1852
Panama,1699,31,1443
Papua New Guinea,1,1,0
Paraguay,823,15,914
Peru,1618,69,1885
Philippines,1716,10,73
Poland,4633,77,7748
Portugal,2099,57,2370
Qatar,158,0,203
Romania,2489,87,3119
Russia,28917,481,19684
Rwanda,109,2,9
Saint Kitts and Nevis,0,0,1
Saint Lucia,0,0,3
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,28,0,31
Sao Tome and Principe,0,0,0
Saudi Arabia,168,9,211
Senegal,121,6,40
Serbia,3685,47,0
Seychelles,3,0,0
Sierra Leone,0,0,0
Singapore,10,0,8
Slovakia,1219,63,1979
Slovenia,395,26,441
Solomon Islands,0,0,0
Somalia,0,0,0
South Africa,8789,216,2432
South Sudan,6,0,21
Spain,22013,334,0
Sri Lanka,370,5,415
Sudan,140,16,89
Suriname,31,0,5
Sweden,0,0,0
Switzerland,10002,159,0
Syria,123,11,49
Taiwan*,0,0,0
Tajikistan,38,0,42
Tanzania,0,0,0
Thailand,809,0,25
Timor-Leste,0,0,0
Togo,20,0,37
Trinidad and Tobago,12,2,14
Tunisia,1031,41,0
Turkey,19103,254,34419
US,190519,1696,0
Uganda,197,7,80
Ukraine,6978,92,5127
United Arab Emirates,1077,2,845
United Kingdom,33517,215,11
Uruguay,429,0,361
Uzbekistan,115,0,97
Vanuatu,0,0,0
Venezuela,438,5,337
Vietnam,1,0,0
West Bank and Gaza,1302,28,1568
Yemen,0,0,0
Zambia,52,2,56
Zimbabwe,97,2,88
